ID ACTIVAS,CLIENTES,MARCA,AÑO
5208,WOOBOTECH,International,2017
10310,SAINT-GOBAIN,Volkswagen,2020
15401,VASCOR,Nissan,2024
15188,JOHN DEERE SALTILLO,International,2024
5881,DISPONIBLE,Toyota,2018
10309,YFAI TO,Volkswagen,2020
15462,CVG,Nissan,2024
15050,APTIV CENTEC 3,Nissan,2024
15396,CVG,Nissan,2024
11584,MAHLE PISTONES,Volkswagen,2023
10308,YFAI TO,Volkswagen,2020
12239,MABE SALTILLO,Volkswagen,2023
15459,SAINT-GOBAIN,Nissan,2024
15397,CVG,Nissan,2024
11587,MAHLE PISTONES,Volkswagen,2023
12237,WINDSOR MACHINE MEXICO,Volkswagen,2023
13874,SAINT-GOBAIN,Mercedes,2023
15403,CVG,Nissan,2024
11202,YFAI TO,Volkswagen,2022
11581,MAHLE PISTONES,Volkswagen,2023
12238,TRANFERENCIA,Volkswagen,2023
14096,DAIMLER,Mercedes,2024
15418,CVG,Nissan,2024
15402,SAINT-GOBAIN,Nissan,2024
15758,MAGNA POWERTRAIN,International,2025
9678,CVG,Mercedes,2021
14109,DAIMLER,Mercedes,2024
15712,SAINT-GOBAIN,Nissan,2024
5392,TUPY RAMOS,International,2018
15756,MAGNA POWERTRAIN,International,2025
11195,TRANFERENCIA,Volkswagen,2022
12998,MABE SALTILLO,International,2023
12733,MAHLE BR 2,Mercedes,2023
14098,DAIMLER,Mercedes,2024
16487,OIEGSA,International,2025
5451,LIPU SALTILLO,International,2018
11231,SAINT-GOBAIN,Volkswagen,2022
12732,MAHLE BR 1,Mercedes,2023
14099,DAIMLER,Mercedes,2024
16486,OIEGSA,International,2025
4458,GANFER SALTILLO,International,2016
4824,TUPY SALTILLO,International,2017
11201,YFAI TO,Volkswagen,2022
11630,MAHLE PISTONES,Volkswagen,2023
12731,MAHLE BR 2,Mercedes,2023
14097,DAIMLER,Mercedes,2024
16485,OIEGSA,International,2025
5450,TUPY RAMOS,International,2018
7714,VASCOR,International,2019
11585,MAHLE PISTONES,Volkswagen,2022
14095,DAIMLER,Mercedes,2024
15226,YFAI DERRAMADERO,Volkswagen,2024
16484,OIEGSA,International,2025
4316,CAPACITACION,Toyota,2015
4822,ACCIONA,International,2017
5449,TUPY RAMOS,International,2018
11583,MAHLE PISTONES,Volkswagen,2022
11864,MAHLE PISTONES,Volkswagen,2023
9669,LIPU SALTILLO,Mercedes,2021
